country,director,genres,language,stars,time,title,url,when,writer
USA,Craig Gillespie,"Comedy,Crime",English,"Emma Stone,Mark Strong,Emma Thompson",,"Cruella,",https://www.imdb.com/title/tt3228774/,28 May 2021 (USA),"Dana Fox,Tony McNamara"
USA,Francesco Lucente,Fantasy,English,"Elisabeth Röhm,Ted Levine,John Rhys-Davies",,"Starbright,",https://www.imdb.com/title/tt1742179/,25 December 2021 (USA),"Joseph Bitonti,Olimpia Lucente"
USA,"Derek Drymon,Jennifer Kluska","Animation,Adventure,Comedy",English,"Adam Sandler,Andy Samberg,Selena Gomez",,"Hotel Transylvania 4,",https://www.imdb.com/title/tt9848626/,6 August 2021 (USA),"Todd Durham,Genndy Tartakovsky"
"Australia,USA",Robert Connolly,"Crime,Drama,Mystery",English,"Eric Bana,Genevieve O'Reilly,Keir O'Donnell",117 min,"The Dry,",https://www.imdb.com/title/tt5144174/,21 May 2021 (USA),"Harry Cripps,Robert Connolly"
USA,James Gunn,"Action,Adventure,Fantasy",English,"Margot Robbie,Idris Elba,John Cena",,"The Suicide Squad,",https://www.imdb.com/title/tt6334354/,6 August 2021 (USA),"James Gunn,John Ostrander"
USA,John Krasinski,"Drama,Horror,Sci-Fi",English,"Emily Blunt,Millicent Simmonds,Cillian Murphy",97 min,"A Quiet Place Part II,",https://www.imdb.com/title/tt8332922/,28 May 2021 (USA),"Scott Beck,John Krasinski"
"UK,USA",Miguel Sapochnik,"Drama,Sci-Fi",English,"Donat Balaj,Tom Hanks,Caleb Landry Jones",,"BIOS,",https://www.imdb.com/title/tt3420504/,13 August 2021 (USA),"Craig Luck,Ivor Powell"
"USA,UK",Patrick Hughes,"Action,Adventure,Comedy",English,"Frank Grillo,Ryan Reynolds,Samuel L. Jackson",,"The Hitman's Wife's Bodyguard,",https://www.imdb.com/title/tt8385148/,20 August 2021 (USA),"Brandon Murphy,Phillip Murphy"
"USA,Australia",Adrian Lyne,Thriller,English,"Ben Affleck,Ana de Armas,Rachel Blanchard",,"Deep Water,",https://www.imdb.com/title/tt2180339/,13 August 2021 (USA),"Zach Helm,Patricia Highsmith"
"Canada,USA",Liesl Tommy,"Biography,Drama,Music",English,"Jennifer Hudson,Forest Whitaker,Audra McDonald",,"Respect,",https://www.imdb.com/title/tt2452150/,13 August 2021 (USA),"Tracey Scott Wilson,Callie Khouri"
USA,Rodo Sayagues,"Crime,Horror,Thriller",English,"Stephanie Arcila,Stephen Lang,Bobby Schofield",,"Don't Breathe Sequel,",https://www.imdb.com/title/tt6246322/,13 August 2021 (USA),"Fede Alvarez,Rodo Sayagues"
"USA,Canada",Cal Brunker,"Animation,Adventure,Comedy",English,"Randall Park,Tyler Perry,Dax Shepard",,"Paw Patrol: The Movie,",https://www.imdb.com/title/tt11832046/,20 August 2021 (USA),"Bob Barlen,Cal Brunker"
"UK,USA",Matthew Vaughn,"Action,Adventure,Comedy",English,"Ralph Fiennes,Harris Dickinson,Gemma Arterton",,"The King's Man,",https://www.imdb.com/title/tt6856242/,20 August 2021 (USA),"Matthew Vaughn,Karl Gajdusek"
"UK,USA",Azazel Jacobs,"Comedy,Drama",English,"Michelle Pfeiffer,Lucas Hedges,Tracy Letts",110 min,"French Exit,",https://www.imdb.com/title/tt10279362/,,"Patrick DeWitt,Patrick DeWitt"
"USA,Australia",Adam Wingard,"Action,Sci-Fi,Thriller",English,"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",113 min,"Godzilla vs. Kong,",https://www.imdb.com/title/tt5034838/,31 March 2021 (USA),"Eric Pearson,Max Borenstein"
"Canada,USA",Nia DaCosta,"Horror,Thriller",English,"Yahya Abdul-Mateen II,Teyonah Parris,Nathan Stewart-Jarrett",,"Candyman,",https://www.imdb.com/title/tt9347730/,27 August 2021 (USA),"Jordan Peele,Win Rosenfeld"
"UK,New Zealand,USA",Peter Jackson,"Documentary,Music",English,"John Lennon,Paul McCartney,George Harrison",,"The Beatles: Get Back,",https://www.imdb.com/title/tt9735318/,27 August 2021 (USA),
"Australia,USA",Simon McQuoid,"Action,Adventure,Fantasy",English,"Lewis Tan,Jessica McNamee,Josh Lawson",,"Mortal Kombat,",https://www.imdb.com/title/tt0293429/,16 April 2021 (USA),"Greg Russo,Dave Callaham"
"USA,Canada","Kirk DeMicco,Brandon Jeffords","Animation,Adventure,Comedy",English,,,"Vivo,",https://www.imdb.com/title/tt6338498/,4 June 2021 (USA),"Peter Barsocchini,Kirk DeMicco"
USA,Michael Chaves,"Horror,Mystery,Thriller","Portuguese,English","Vera Farmiga,Patrick Wilson,Julian Hilliard",,"The Conjuring: The Devil Made Me Do It,",https://www.imdb.com/title/tt7069210/,4 June 2021 (USA),"David Leslie Johnson-McGoldrick,David Leslie Johnson-McGoldrick"
USA,Martin Campbell,"Action,Crime,Thriller",,"Samuel L. Jackson,Robert Patrick,Michael Keaton",,"The Asset,",https://www.imdb.com/title/tt6079772/,23 April 2021 (USA),Richard Wenk
USA,Paul Weitz,Drama,English,"Paul Alexander Désiré,Rodney Alexandre,Christine Lan",,"Fatherhood,",https://www.imdb.com/title/tt4733624/,18 June 2021 (USA),"Matt Logelin,Dana Stevens"
USA,Julius Avery,"Action,Drama,Fantasy",English,"Sylvester Stallone,Martin Starr,Pilou Asbæk",,"Samaritan,",https://www.imdb.com/title/tt5500218/,4 June 2021 (USA),Bragi F. Schut
USA,"Elaine Bogan,Ennio Torresan","Animation,Adventure,Family",English,"Eiza González,Jake Gyllenhaal,Mckenna Grace",,"Spirit Untamed,",https://www.imdb.com/title/tt11084896/,4 June 2021 (USA),"John Fusco,Kristin Hahn"
USA,Austin Stark,Thriller,,"Julia Stiles,Janeane Garofalo,Kelsey Grammer",98 min,"The God Committee,",https://www.imdb.com/title/tt6852526/,10 June 2021 (USA),Austin Stark
"USA,Italy",Enrico Casarosa,"Animation,Adventure,Comedy","English,Italian","Jacob Tremblay,Jack Dylan Grazer,Maya Rudolph",,"Luca,",https://www.imdb.com/title/tt12801262/,18 June 2021 (USA),"Jesse Andrews,Mike Jones"
"USA,China",Joseph Kosinski,"Action,Drama",English,"Tom Cruise,Jennifer Connelly,Miles Teller",,"Top Gun: Maverick,",https://www.imdb.com/title/tt1745960/,2 July 2021 (USA),"Ehren Kruger,Eric Warren Singer"
USA,Justin Lin,"Action,Adventure,Crime",English,"Vin Diesel,Michelle Rodriguez,Charlize Theron",145 min,"F9,",https://www.imdb.com/title/tt5433138/,25 June 2021 (USA),"Daniel Casey,Gary Scott Thompson"
USA,Andy Serkis,"Action,Horror,Sci-Fi",English,"Tom Hardy,Michelle Williams,Woody Harrelson",,"Venom: Let There Be Carnage,",https://www.imdb.com/title/tt7097896/,25 June 2021 (USA),Kelly Marcel
USA,Justin Chon,Drama,English,"Justin Chon,Alicia Vikander,Mark O'Brien",,"Blue Bayou,",https://www.imdb.com/title/tt11121664/,25 June 2021 (USA),Justin Chon
